Actual Price ($),Predicted Price ($),Absolute Error ($),Accuracy (%)
"$180,000","$307,405","$127,405",29.22
"$179,900","$232,630","$52,730",70.69
"$240,000","$224,552","$15,448",93.56
"$299,900","$250,949","$48,951",83.68
"$275,000","$325,655","$50,655",81.58
"$519,900","$482,356","$37,544",92.78
"$298,500","$257,966","$40,534",86.42
"$300,000","$255,479","$44,521",85.16
"$719,000","$460,988","$258,012",64.12
"$415,000","$286,324","$128,676",68.99
"$479,000","$366,062","$112,938",76.42
"$395,000","$318,214","$76,786",80.56
"$218,000","$224,258","$6,258",97.13
"$290,000","$384,617","$94,617",67.37
"$639,900","$473,846","$166,054",74.05
"$465,000","$466,840","$1,840",99.6
"$495,000","$433,117","$61,883",87.5
"$325,000","$317,667","$7,333",97.74
"$345,000","$280,055","$64,945",81.18
"$274,900","$258,067","$16,833",93.88
"$575,000","$430,328","$144,672",74.84
"$304,900","$261,211","$43,689",85.67
"$399,000","$452,648","$53,648",86.55
"$514,900","$404,679","$110,221",78.59
"$485,000","$349,215","$135,785",72.0
"$1,049,000","$744,822","$304,178",71.0
"$175,000","$316,621","$141,621",19.07
"$520,000","$560,153","$40,153",92.28
"$450,000","$396,335","$53,665",88.07
"$379,800","$411,566","$31,766",91.64
"$549,900","$575,068","$25,168",95.42
"$495,000","$444,011","$50,989",89.7
"$290,300","$267,185","$23,115",92.04
"$419,900","$386,975","$32,925",92.16
"$279,900","$277,689","$2,211",99.21
"$235,000","$204,906","$30,094",87.19
"$575,000","$580,963","$5,963",98.96
"$279,900","$275,069","$4,831",98.27
"$470,000","$355,591","$114,409",75.66
"$512,000","$416,502","$95,498",81.35
"$385,000","$358,863","$26,137",93.21
"$429,000","$343,170","$85,830",79.99
"$307,000","$331,204","$24,204",92.12
"$238,000","$415,163","$177,163",25.56
"$419,900","$478,331","$58,431",86.08
"$564,000","$416,885","$147,115",73.92
"$439,950","$394,446","$45,504",89.66
"$415,000","$369,165","$45,835",88.96
"$770,000","$620,344","$149,656",80.56
"$209,950","$319,887","$109,937",47.64
"$335,000","$319,151","$15,849",95.27
"$369,000","$363,643","$5,357",98.55
"$229,900","$408,331","$178,431",22.39
"$425,000","$446,407","$21,407",94.96
"$450,000","$420,444","$29,556",93.43
"$709,900","$620,499","$89,401",87.41
"$389,900","$343,810","$46,090",88.18
"$449,000","$352,282","$96,718",78.46
"$185,000","$281,299","$96,299",47.95
"$425,000","$371,482","$53,518",87.41
"$295,000","$303,553","$8,553",97.1
"$479,000","$428,760","$50,240",89.51
"$467,777","$405,470","$62,307",86.68
"$394,500","$372,519","$21,981",94.43
"$224,900","$318,059","$93,159",58.58
"$386,000","$443,001","$57,001",85.23
"$490,000","$376,804","$113,196",76.9
"$274,999","$266,772","$8,227",97.01
"$305,000","$333,415","$28,415",90.68
"$579,000","$491,660","$87,340",84.92
"$499,000","$442,713","$56,287",88.72
"$230,000","$338,596","$108,596",52.78
"$349,000","$294,265","$54,735",84.32
"$549,000","$502,569","$46,431",91.54
"$109,900","$318,053","$208,153",-89.4
"$495,000","$401,907","$93,093",81.19
"$235,000","$282,246","$47,246",79.9
"$250,000","$285,668","$35,668",85.73
"$242,000","$191,621","$50,379",79.18
"$275,000","$279,484","$4,484",98.37
"$240,000","$401,565","$161,565",32.68
"$160,000","$344,896","$184,896",-15.56
"$299,900","$222,194","$77,706",74.09
"$350,000","$308,346","$41,654",88.1
"$395,000","$364,204","$30,796",92.2
"$349,900","$275,308","$74,592",78.68
"$139,000","$272,032","$133,032",4.29
"$335,000","$298,917","$36,083",89.23
"$215,000","$215,908",$908,99.58
"$278,000","$274,180","$3,820",98.63
"$320,000","$301,398","$18,602",94.19
"$269,000","$236,788","$32,212",88.03
"$194,900","$281,969","$87,069",55.33
"$249,000","$272,632","$23,632",90.51
"$300,000","$271,947","$28,053",90.65
"$315,000","$345,390","$30,390",90.35
"$385,000","$337,249","$47,751",87.6
"$385,000","$346,209","$38,791",89.92
"$259,900","$274,327","$14,427",94.45
"$140,000","$214,935","$74,935",46.48
"$249,500","$245,900","$3,600",98.56
"$289,500","$377,364","$87,864",69.65
"$260,000","$234,821","$25,179",90.32
"$227,500","$232,680","$5,180",97.72
"$425,000","$406,028","$18,972",95.54
"$375,000","$288,486","$86,514",76.93
"$409,990","$339,787","$70,203",82.88
"$439,000","$413,433","$25,567",94.18
"$435,000","$409,308","$25,692",94.09
"$275,000","$215,163","$59,837",78.24
"$235,000","$231,206","$3,794",98.39
"$310,000","$271,903","$38,097",87.71
"$465,000","$393,445","$71,555",84.61
"$317,500","$321,943","$4,443",98.6
"$519,000","$450,495","$68,505",86.8
"$295,000","$318,512","$23,512",92.03
"$314,900","$367,883","$52,983",83.17
"$429,000","$373,410","$55,590",87.04
"$235,000","$240,376","$5,376",97.71
"$275,000","$257,025","$17,975",93.46
"$399,990","$463,060","$63,070",84.23
"$270,000","$241,136","$28,864",89.31
"$265,000","$231,965","$33,035",87.53
"$180,000","$259,401","$79,401",55.89
"$567,000","$533,311","$33,689",94.06
"$169,000","$221,456","$52,456",68.96
"$360,000","$530,643","$170,643",52.6
"$199,900","$213,397","$13,497",93.25
"$205,900","$292,425","$86,525",57.98
"$437,500","$450,719","$13,219",96.98
"$189,000","$293,249","$104,249",44.84
"$645,000","$550,289","$94,711",85.32
"$436,000","$386,896","$49,104",88.74
"$345,000","$306,962","$38,038",88.97
"$252,450","$269,463","$17,013",93.26
"$382,198","$375,391","$6,807",98.22
"$245,000","$256,361","$11,361",95.36
"$533,000","$581,539","$48,539",90.89
"$225,000","$284,648","$59,648",73.49
"$129,900","$208,518","$78,618",39.48
"$419,000","$333,766","$85,234",79.66
"$475,000","$469,599","$5,401",98.86
"$526,990","$536,609","$9,619",98.17
"$374,257","$439,283","$65,026",82.63
"$515,000","$500,240","$14,760",97.13
"$280,000","$279,457",$543,99.81
"$585,000","$671,076","$86,076",85.29
"$722,000","$623,029","$98,971",86.29
"$679,900","$831,174","$151,274",77.75
"$399,000","$364,569","$34,431",91.37
"$484,000","$539,457","$55,457",88.54
"$399,000","$372,787","$26,213",93.43
"$265,000","$270,676","$5,676",97.86
"$447,900","$431,282","$16,618",96.29
"$479,700","$514,783","$35,083",92.69
"$234,900","$231,247","$3,653",98.44
"$669,000","$729,967","$60,967",90.89
"$475,000","$486,665","$11,665",97.54
"$585,000","$541,620","$43,380",92.58
"$479,000","$528,731","$49,731",89.62
"$219,500","$231,248","$11,748",94.65
"$225,000","$239,074","$14,074",93.74
"$350,000","$325,313","$24,687",92.95
"$395,000","$502,311","$107,311",72.83
"$1,300,000","$920,380","$379,620",70.8
"$456,000","$464,511","$8,511",98.13
"$245,000","$257,256","$12,256",95.0
"$789,000","$537,344","$251,656",68.1
"$389,990","$453,289","$63,299",83.77
"$250,000","$264,409","$14,409",94.24
"$219,900","$229,405","$9,505",95.68
"$334,900","$314,044","$20,856",93.77
"$399,000","$512,774","$113,774",71.49
"$230,000","$233,440","$3,440",98.5
"$375,000","$371,758","$3,242",99.14
"$285,000","$265,131","$19,869",93.03
"$1,250,000","$936,544","$313,456",74.92
"$259,900","$291,479","$31,579",87.85
"$365,000","$317,952","$47,048",87.11
"$170,000","$310,169","$140,169",17.55
"$365,000","$394,149","$29,149",92.01
"$725,000","$695,930","$29,070",95.99
"$410,000","$397,263","$12,737",96.89
"$699,900","$821,251","$121,351",82.66
"$385,000","$463,423","$78,423",79.63
"$1,075,000","$896,085","$178,915",83.36
"$425,000","$488,241","$63,241",85.12
"$620,000","$582,127","$37,873",93.89
"$509,900","$373,948","$135,952",73.34
"$762,500","$945,435","$182,935",76.01
"$405,000","$426,967","$21,967",94.58
"$349,000","$391,401","$42,401",87.85
"$650,000","$581,033","$68,967",89.39
"$598,000","$633,387","$35,387",94.08
"$935,000","$1,054,037","$119,037",87.27
"$395,000","$412,794","$17,794",95.5
"$349,997","$389,732","$39,735",88.65
"$350,000","$351,985","$1,985",99.43
"$619,000","$468,321","$150,679",75.66
"$350,000","$329,084","$20,916",94.02
"$415,000","$394,167","$20,833",94.98
"$475,000","$467,486","$7,514",98.42
"$319,000","$287,423","$31,577",90.1
"$529,900","$531,852","$1,952",99.63
"$334,000","$326,719","$7,281",97.82
"$580,000","$549,054","$30,946",94.66
"$665,000","$574,435","$90,565",86.38
"$1,459,900","$903,354","$556,546",61.88
"$425,000","$410,992","$14,008",96.7
"$279,000","$348,914","$69,914",74.94
"$432,000","$417,602","$14,398",96.67
"$712,500","$632,316","$80,184",88.75
"$599,900","$610,417","$10,517",98.25
"$395,000","$410,031","$15,031",96.19
"$329,000","$334,507","$5,507",98.33
"$420,000","$417,353","$2,647",99.37
"$469,400","$525,036","$55,636",88.15
"$599,500","$607,445","$7,945",98.67
"$374,100","$387,037","$12,937",96.54
"$489,000","$507,683","$18,683",96.18
"$574,999","$809,370","$234,371",59.24
"$749,000","$583,804","$165,196",77.94
"$1,175,000","$696,298","$478,702",59.26
"$650,000","$764,260","$114,260",82.42
"$840,000","$707,134","$132,866",84.18
"$565,000","$620,922","$55,922",90.1
"$729,000","$588,499","$140,501",80.73
"$310,000","$319,540","$9,540",96.92
"$1,350,000","$1,099,013","$250,987",81.41
"$450,000","$428,028","$21,972",95.12
"$530,000","$533,614","$3,614",99.32
"$339,500","$503,679","$164,179",51.64
"$599,000","$583,687","$15,313",97.44
"$1,100,000","$927,336","$172,664",84.3
"$499,900","$461,251","$38,649",92.27
"$349,000","$392,128","$43,128",87.64
"$995,000","$917,767","$77,233",92.24
"$464,900","$493,263","$28,363",93.9
"$492,900","$465,440","$27,460",94.43
"$489,900","$482,209","$7,691",98.43
"$329,900","$401,958","$72,058",78.16
"$650,000","$599,958","$50,042",92.3
"$553,000","$476,341","$76,659",86.14
"$545,000","$528,765","$16,235",97.02
"$745,000","$733,899","$11,101",98.51
"$650,000","$591,030","$58,970",90.93
"$689,000","$1,105,665","$416,665",39.53
"$199,900","$319,665","$119,765",40.09
"$499,900","$592,243","$92,343",81.53
"$439,000","$399,862","$39,138",91.08
"$289,900","$255,905","$33,995",88.27
"$357,500","$360,404","$2,904",99.19
"$384,500","$308,841","$75,659",80.32
"$399,000","$344,140","$54,860",86.25
"$399,000","$342,110","$56,890",85.74
"$304,900","$285,742","$19,158",93.72
"$226,900","$309,723","$82,823",63.5
"$279,000","$264,381","$14,619",94.76
"$395,000","$311,512","$83,488",78.86
"$299,900","$307,741","$7,841",97.39
"$225,000","$496,112","$271,112",-20.49
"$309,000","$254,111","$54,889",82.24
"$245,000","$265,892","$20,892",91.47
"$375,000","$287,317","$87,683",76.62
"$334,900","$310,816","$24,084",92.81
"$269,900","$257,254","$12,646",95.31
"$375,000","$338,987","$36,013",90.4
"$379,000","$364,625","$14,375",96.21
"$295,000","$281,820","$13,180",95.53
"$205,180","$305,077","$99,897",51.31
"$380,000","$367,899","$12,101",96.82
"$325,000","$369,823","$44,823",86.21
"$249,500","$254,331","$4,831",98.06
"$295,000","$373,990","$78,990",73.22
"$460,000","$401,336","$58,664",87.25
"$238,900","$297,543","$58,643",75.45
"$315,000","$335,992","$20,992",93.34
"$198,000","$297,129","$99,129",49.93
"$329,900","$295,575","$34,325",89.6
"$340,000","$336,595","$3,405",99.0
"$387,000","$336,564","$50,436",86.97
"$305,000","$341,514","$36,514",88.03
"$409,000","$286,871","$122,129",70.14
"$224,900","$246,553","$21,653",90.37
"$254,900","$303,259","$48,359",81.03
"$315,900","$311,488","$4,412",98.6
"$319,900","$318,578","$1,322",99.59
"$296,000","$278,387","$17,613",94.05
"$359,000","$331,276","$27,724",92.28
"$310,000","$291,988","$18,012",94.19
"$312,900","$316,771","$3,871",98.76
"$359,000","$305,039","$53,961",84.97
"$369,900","$354,508","$15,392",95.84
"$335,000","$300,047","$34,953",89.57
"$249,900","$304,854","$54,954",78.01
"$305,000","$324,688","$19,688",93.54
"$375,000","$315,479","$59,521",84.13
"$575,000","$520,185","$54,815",90.47
"$364,900","$351,801","$13,099",96.41
"$488,105","$569,333","$81,228",83.36
"$199,000","$365,227","$166,227",16.47
"$459,900","$364,309","$95,591",79.21
"$414,900","$401,783","$13,117",96.84
"$249,000","$238,491","$10,509",95.78
"$337,990","$499,055","$161,065",52.35
"$369,900","$297,480","$72,420",80.42
"$319,900","$356,227","$36,327",88.64
"$267,000","$259,577","$7,423",97.22
"$229,000","$247,832","$18,832",91.78
"$575,000","$465,866","$109,134",81.02
"$329,900","$320,102","$9,798",97.03
"$170,000","$277,607","$107,607",36.7
"$275,000","$344,707","$69,707",74.65
"$339,000","$330,427","$8,573",97.47
"$335,000","$311,439","$23,561",92.97
"$319,900","$344,131","$24,231",92.43
"$242,625","$279,074","$36,449",84.98
"$265,000","$326,883","$61,883",76.65
"$519,000","$526,746","$7,746",98.51
"$369,900","$324,731","$45,169",87.79
"$319,000","$271,211","$47,789",85.02
"$380,000","$314,820","$65,180",82.85
"$289,000","$265,836","$23,164",91.98
"$315,000","$318,133","$3,133",99.01
"$424,900","$416,320","$8,580",97.98
"$222,900","$238,240","$15,340",93.12
"$299,000","$315,697","$16,697",94.42
"$489,999","$574,342","$84,343",82.79
"$355,000","$602,063","$247,063",30.4
"$205,000","$297,675","$92,675",54.79
"$575,000","$749,828","$174,828",69.6
"$370,000","$364,173","$5,827",98.43
"$649,999","$557,785","$92,214",85.81
"$420,000","$435,273","$15,273",96.36
"$450,000","$468,673","$18,673",95.85
"$334,900","$421,658","$86,758",74.09
"$735,000","$734,473",$527,99.93
"$510,000","$461,414","$48,586",90.47
"$315,000","$281,413","$33,587",89.34
"$237,000","$341,423","$104,423",55.94
"$329,000","$358,429","$29,429",91.06
"$999,950","$639,075","$360,875",63.91
"$649,000","$629,188","$19,812",96.95
"$250,000","$417,883","$167,883",32.85
"$284,000","$307,055","$23,055",91.88
"$264,500","$278,238","$13,738",94.81
"$319,900","$533,920","$214,020",33.1
"$485,000","$584,082","$99,082",79.57
"$314,900","$294,346","$20,554",93.47
"$249,900","$313,411","$63,511",74.59
"$179,997","$332,978","$152,981",15.01
"$390,000","$318,801","$71,199",81.74
"$325,000","$389,531","$64,531",80.14
"$187,500","$240,794","$53,294",71.58
"$249,900","$226,916","$22,984",90.8
"$329,900","$338,970","$9,070",97.25
"$255,000","$240,286","$14,714",94.23
"$499,000","$354,449","$144,551",71.03
"$245,000","$236,885","$8,115",96.69
"$255,000","$242,419","$12,581",95.07
"$230,000","$283,424","$53,424",76.77
"$320,000","$353,839","$33,839",89.43
"$249,900","$267,377","$17,477",93.01
"$175,000","$222,938","$47,938",72.61
"$289,900","$245,618","$44,282",84.73
"$240,000","$300,614","$60,614",74.74
"$269,900","$222,371","$47,529",82.39
"$170,000","$212,123","$42,123",75.22
"$449,900","$354,141","$95,759",78.72
"$549,900","$487,659","$62,241",88.68
"$615,000","$638,363","$23,363",96.2
"$268,000","$268,407",$407,99.85
"$315,000","$306,002","$8,998",97.14
"$429,900","$424,576","$5,324",98.76
"$259,900","$288,351","$28,451",89.05
"$655,000","$677,898","$22,898",96.5
"$387,000","$416,836","$29,836",92.29
"$269,900","$261,611","$8,289",96.93
"$450,000","$406,390","$43,610",90.31
"$239,900","$258,182","$18,282",92.38
"$248,500","$250,468","$1,968",99.21
"$235,000","$225,793","$9,207",96.08
"$349,900","$378,506","$28,606",91.82
"$849,900","$524,513","$325,387",61.71
"$500,000","$542,665","$42,665",91.47
"$579,000","$653,406","$74,406",87.15
"$389,900","$519,198","$129,298",66.84
"$894,000","$883,555","$10,445",98.83
"$359,000","$366,120","$7,120",98.02
"$295,000","$277,757","$17,243",94.15
"$259,995","$426,304","$166,309",36.03
"$460,000","$428,179","$31,821",93.08
"$515,000","$362,379","$152,621",70.36
"$699,000","$595,479","$103,521",85.19
"$330,000","$385,138","$55,138",83.29
"$329,000","$402,809","$73,809",77.57
"$525,000","$519,468","$5,532",98.95
"$230,000","$246,136","$16,136",92.98
"$620,000","$852,472","$232,472",62.5
"$415,000","$444,361","$29,361",92.93
"$565,000","$609,595","$44,595",92.11
"$737,500","$667,723","$69,777",90.54
"$445,000","$413,278","$31,722",92.87
"$629,900","$643,048","$13,148",97.91
"$849,900","$778,301","$71,599",91.58
"$585,000","$500,367","$84,633",85.53
"$265,000","$345,435","$80,435",69.65
"$499,900","$576,897","$76,997",84.6
"$405,000","$396,921","$8,079",98.01
"$595,000","$578,689","$16,311",97.26
"$370,000","$377,703","$7,703",97.92
"$900,000","$714,981","$185,019",79.44
"$535,000","$480,695","$54,305",89.85
"$689,500","$865,172","$175,672",74.52
"$379,000","$429,863","$50,863",86.58
"$725,000","$661,774","$63,226",91.28
"$839,900","$772,572","$67,328",91.98
"$725,000","$742,634","$17,634",97.57
"$515,000","$486,982","$28,018",94.56
"$879,900","$873,482","$6,418",99.27
"$599,000","$625,211","$26,211",95.62
"$625,000","$565,630","$59,370",90.5
"$699,900","$864,971","$165,071",76.42
"$249,900","$279,166","$29,266",88.29
"$635,000","$557,896","$77,104",87.86
"$300,000","$288,033","$11,967",96.01
"$575,000","$499,623","$75,377",86.89
"$230,000","$275,453","$45,453",80.24
"$800,000","$631,857","$168,143",78.98
"$415,000","$399,352","$15,648",96.23
"$399,500","$462,637","$63,137",84.2
"$479,000","$490,712","$11,712",97.55
"$292,490","$377,292","$84,802",71.01
"$915,000","$995,146","$80,146",91.24
"$346,000","$545,808","$199,808",42.25
"$379,900","$541,935","$162,035",57.35
"$319,900","$459,644","$139,744",56.32
"$539,000","$454,194","$84,806",84.27
"$787,000","$860,414","$73,414",90.67
"$405,000","$465,257","$60,257",85.12
"$925,000","$723,695","$201,305",78.24
"$675,000","$853,272","$178,272",73.59
"$535,000","$459,429","$75,571",85.87
"$899,000","$930,151","$31,151",96.53
"$539,000","$789,571","$250,571",53.51
"$875,000","$634,934","$240,066",72.56
"$272,000","$253,760","$18,240",93.29
"$215,000","$253,999","$38,999",81.86
"$499,900","$590,946","$91,046",81.79
"$385,000","$459,477","$74,477",80.66
"$669,950","$631,452","$38,498",94.25
"$488,350","$508,220","$19,870",95.93
"$599,000","$538,117","$60,883",89.84
"$635,000","$582,399","$52,601",91.72
"$485,000","$497,626","$12,626",97.4
"$358,000","$373,486","$15,486",95.67
"$697,000","$752,264","$55,264",92.07
"$525,000","$605,412","$80,412",84.68
"$424,900","$455,848","$30,948",92.72
"$400,000","$383,327","$16,673",95.83
"$429,900","$504,659","$74,759",82.61
"$424,900","$462,617","$37,717",91.12
"$550,000","$638,409","$88,409",83.93
"$750,000","$520,086","$229,914",69.34
"$389,900","$387,416","$2,484",99.36
"$649,000","$766,325","$117,325",81.92
"$425,000","$410,941","$14,059",96.69
"$379,950","$438,469","$58,519",84.6
"$524,900","$548,917","$24,017",95.42
"$460,000","$461,065","$1,065",99.77
"$825,000","$676,892","$148,108",82.05
"$400,000","$388,810","$11,190",97.2
"$425,000","$456,940","$31,940",92.48
"$369,000","$433,012","$64,012",82.65
"$399,900","$473,431","$73,531",81.61
"$485,000","$513,302","$28,302",94.16
"$475,000","$521,333","$46,333",90.25
"$1,349,000","$704,244","$644,756",52.2
"$569,900","$567,925","$1,975",99.65
"$1,150,000","$1,001,705","$148,295",87.1
"$999,000","$836,763","$162,237",83.76
"$1,050,000","$886,383","$163,617",84.42
"$1,499,000","$1,037,347","$461,653",69.2
"$789,000","$779,632","$9,368",98.81
"$385,000","$427,115","$42,115",89.06
"$669,000","$609,555","$59,445",91.11
"$1,099,000","$868,570","$230,430",79.03
"$759,000","$670,672","$88,328",88.36
"$724,000","$511,876","$212,124",70.7
"$779,997","$610,325","$169,672",78.25
"$495,000","$470,929","$24,071",95.14
"$975,000","$921,630","$53,370",94.53
"$625,000","$730,946","$105,946",83.05
"$525,000","$520,641","$4,359",99.17
"$599,900","$541,690","$58,210",90.3
"$550,000","$514,211","$35,789",93.49
"$550,000","$459,933","$90,067",83.62
"$468,000","$454,400","$13,600",97.09
"$750,000","$466,928","$283,072",62.26
"$594,500","$511,183","$83,317",85.99
"$1,250,000","$1,055,586","$194,414",84.45
"$865,000","$943,136","$78,136",90.97
"$805,000","$685,390","$119,610",85.14
"$949,900","$993,458","$43,558",95.41
"$475,000","$442,026","$32,974",93.06
"$500,000","$518,312","$18,312",96.34
"$345,000","$284,878","$60,122",82.57
"$450,000","$436,483","$13,517",97.0
"$589,000","$498,972","$90,028",84.72
"$799,000","$1,116,238","$317,238",60.3
"$1,249,000","$889,449","$359,551",71.21
"$824,900","$820,175","$4,725",99.43
"$1,100,000","$722,955","$377,045",65.72
"$474,900","$513,516","$38,616",91.87
"$995,000","$582,013","$412,987",58.49
"$1,099,000","$771,901","$327,099",70.24
"$425,000","$312,736","$112,264",73.58
"$770,000","$756,148","$13,852",98.2
"$599,500","$322,039","$277,461",53.72
"$697,000","$722,890","$25,890",96.29
"$498,000","$550,729","$52,729",89.41
"$735,000","$559,182","$175,818",76.08
"$499,900","$432,692","$67,208",86.56
"$264,983","$404,587","$139,604",47.32
"$399,000","$410,994","$11,994",96.99
"$410,000","$364,820","$45,180",88.98
"$279,000","$269,121","$9,879",96.46
"$550,000","$487,349","$62,651",88.61
"$345,000","$360,232","$15,232",95.58
"$415,000","$377,322","$37,678",90.92
"$449,900","$413,486","$36,414",91.91
"$359,000","$373,974","$14,974",95.83
"$209,500","$409,625","$200,125",4.47
"$329,000","$315,043","$13,957",95.76
"$449,900","$360,336","$89,564",80.09
"$339,900","$329,339","$10,561",96.89
"$325,000","$366,788","$41,788",87.14
"$399,900","$354,634","$45,266",88.68
"$284,900","$276,148","$8,752",96.93
"$429,000","$366,334","$62,666",85.39
"$400,000","$339,959","$60,041",84.99
"$310,000","$318,597","$8,597",97.23
"$345,000","$415,472","$70,472",79.57
"$418,900","$330,128","$88,772",78.81
"$439,000","$352,072","$86,928",80.2
"$449,950","$345,600","$104,350",76.81
"$290,000","$305,440","$15,440",94.68
"$399,900","$350,138","$49,762",87.56
"$300,000","$281,037","$18,963",93.68
"$369,000","$386,624","$17,624",95.22
"$228,900","$351,868","$122,968",46.28
"$430,000","$338,680","$91,320",78.76
"$295,000","$366,842","$71,842",75.65
"$455,000","$386,702","$68,298",84.99
"$365,000","$326,674","$38,326",89.5
"$290,000","$363,550","$73,550",74.64
"$310,000","$309,202",$798,99.74
"$395,000","$409,103","$14,103",96.43
"$375,000","$354,982","$20,018",94.66
"$279,950","$273,450","$6,500",97.68
"$398,880","$340,931","$57,949",85.47
"$465,000","$344,341","$120,659",74.05
"$375,000","$361,995","$13,005",96.53
"$338,000","$340,306","$2,306",99.32
"$324,900","$336,920","$12,020",96.3
"$342,843","$385,638","$42,795",87.52
"$290,000","$328,763","$38,763",86.63
"$387,500","$348,593","$38,907",89.96
"$272,000","$294,411","$22,411",91.76
"$360,000","$314,499","$45,501",87.36
"$350,000","$312,118","$37,882",89.18
"$388,000","$374,885","$13,115",96.62
"$450,000","$412,546","$37,454",91.68
"$349,900","$355,168","$5,268",98.49
"$344,000","$291,481","$52,519",84.73
"$447,500","$330,115","$117,385",73.77
"$375,000","$333,452","$41,548",88.92
"$374,900","$450,360","$75,460",79.87
"$399,000","$358,994","$40,006",89.97
"$159,000","$309,999","$150,999",5.03
"$219,997","$341,880","$121,883",44.6
"$319,500","$328,394","$8,894",97.22
"$550,000","$344,074","$205,926",62.56
"$429,900","$477,763","$47,863",88.87
"$293,500","$295,251","$1,751",99.4
"$314,289","$388,200","$73,911",76.48
"$252,000","$274,968","$22,968",90.89
"$325,000","$372,331","$47,331",85.44
"$279,950","$278,003","$1,947",99.3
"$300,000","$305,110","$5,110",98.3
"$427,500","$411,266","$16,234",96.2
"$429,900","$448,947","$19,047",95.57
"$279,900","$282,707","$2,807",99.0
"$300,000","$310,610","$10,610",96.46
"$375,000","$330,610","$44,390",88.16
"$349,500","$283,747","$65,753",81.19
"$345,000","$272,228","$72,772",78.91
"$369,000","$406,521","$37,521",89.83
"$330,000","$330,305",$305,99.91
"$500,000","$283,889","$216,111",56.78
"$299,000","$354,393","$55,393",81.47
"$369,900","$380,543","$10,643",97.12
"$520,000","$543,647","$23,647",95.45
"$300,000","$356,475","$56,475",81.18
"$299,900","$350,371","$50,471",83.17
"$374,999","$334,788","$40,211",89.28
"$309,900","$286,796","$23,104",92.54
"$339,000","$335,281","$3,719",98.9
"$434,900","$327,684","$107,216",75.35
"$337,000","$335,898","$1,102",99.67
"$244,900","$328,368","$83,468",65.92
"$385,000","$347,970","$37,030",90.38
"$299,990","$288,301","$11,689",96.1
"$247,200","$386,582","$139,382",43.62
"$374,900","$308,589","$66,311",82.31
"$355,000","$382,654","$27,654",92.21
"$505,000","$445,656","$59,344",88.25
"$349,000","$317,365","$31,635",90.94
"$315,000","$280,143","$34,857",88.93
"$375,000","$475,358","$100,358",73.24
"$485,000","$348,637","$136,363",71.88
"$275,000","$260,946","$14,054",94.89
"$299,900","$267,456","$32,444",89.18
"$260,000","$260,059",$59,99.98
"$284,900","$266,902","$17,998",93.68
"$358,000","$357,372",$628,99.82
"$429,900","$336,534","$93,366",78.28
"$238,000","$259,917","$21,917",90.79
"$298,000","$254,045","$43,955",85.25
"$269,500","$259,140","$10,360",96.16
"$158,000","$272,202","$114,202",27.72
"$339,000","$361,653","$22,653",93.32
"$280,000","$228,763","$51,237",81.7
"$264,900","$279,283","$14,383",94.57
"$387,000","$366,666","$20,334",94.75
"$450,000","$386,079","$63,921",85.8
"$285,000","$309,396","$24,396",91.44
"$500,000","$352,690","$147,310",70.54
"$329,900","$270,771","$59,129",82.08
"$465,000","$303,477","$161,523",65.26
"$355,000","$286,993","$68,007",80.84
"$299,900","$300,670",$770,99.74
"$299,900","$351,081","$51,181",82.93
"$400,000","$353,460","$46,540",88.36
"$389,000","$335,217","$53,783",86.17
"$314,999","$330,873","$15,874",94.96
"$399,900","$343,918","$55,982",86.0
"$375,000","$346,167","$28,833",92.31
"$314,900","$372,461","$57,561",81.72
"$255,000","$276,435","$21,435",91.59
"$325,000","$337,724","$12,724",96.08
"$342,500","$339,612","$2,888",99.16
"$299,900","$279,654","$20,246",93.25
"$322,000","$340,431","$18,431",94.28
"$330,000","$325,768","$4,232",98.72
"$428,000","$335,080","$92,920",78.29
"$369,000","$392,501","$23,501",93.63
"$370,000","$332,868","$37,132",89.96
"$385,000","$335,806","$49,194",87.22
"$375,000","$306,545","$68,455",81.75
"$295,000","$257,779","$37,221",87.38
"$240,000","$266,435","$26,435",88.99
"$345,000","$282,201","$62,799",81.8
"$322,500","$278,134","$44,366",86.24
"$129,000","$313,530","$184,530",-43.05
"$389,900","$282,360","$107,540",72.42
"$295,000","$344,948","$49,948",83.07
"$325,000","$318,504","$6,496",98.0
"$169,500","$381,419","$211,919",-25.03
"$334,900","$384,410","$49,510",85.22
"$230,000","$284,584","$54,584",76.27
"$350,000","$344,271","$5,729",98.36
"$314,900","$295,598","$19,302",93.87
"$339,000","$341,218","$2,218",99.35
"$339,000","$339,774",$774,99.77
"$250,000","$283,630","$33,630",86.55
"$265,000","$279,615","$14,615",94.48
"$330,000","$319,914","$10,086",96.94
"$345,000","$306,086","$38,914",88.72
"$249,000","$238,646","$10,354",95.84
"$355,000","$313,009","$41,991",88.17
"$300,000","$270,635","$29,365",90.21
"$424,980","$392,918","$32,062",92.46
"$238,500","$266,751","$28,251",88.15
"$235,000","$243,745","$8,745",96.28
"$299,000","$280,908","$18,092",93.95
"$245,000","$243,201","$1,799",99.27
"$349,900","$308,165","$41,735",88.07
"$325,000","$293,791","$31,209",90.4
"$210,000","$248,321","$38,321",81.75
"$245,000","$239,189","$5,811",97.63
"$319,900","$278,722","$41,178",87.13
"$285,000","$258,998","$26,002",90.88
"$269,000","$252,334","$16,666",93.8
"$347,000","$320,257","$26,743",92.29
"$289,999","$263,339","$26,660",90.81
